iter	Passed	Remaining
271	7837	20976
272	7866	20947
273	7893	20915
274	7920	20881
275	7945	20843
276	7973	20811
277	7999	20775
278	8026	20742
279	8055	20713
280	8082	20680
281	8108	20645
282	8135	20612
283	8162	20577
284	8189	20545
285	8218	20517
286	8245	20484
287	8274	20455
288	8303	20428
289	8330	20396
290	8358	20365
291	8386	20335
292	8415	20306
293	8443	20275
294	8471	20245
295	8501	20220
296	8530	20192
297	8556	20157
298	8585	20129
299	8612	20096
300	8641	20067
301	8672	20044
302	8706	20027
303	8740	20010
304	8767	19977
305	8796	19950
306	8825	19923
307	8853	19891
308	8882	19863
309	8909	19830
310	8939	19804
311	8968	19777
312	8999	19753
313	9030	19729
314	9056	19693
315	9084	19663
316	9114	19638
317	9143	19608
318	9170	19577
319	9199	19548
320	9229	19522
321	9257	19492
322	9284	19460
323	9315	19436
324	9344	19407
325	9371	19374
326	9397	19341
327	9424	19309
328	9452	19279
329	9480	19248
330	9511	19224
331	9538	19191
332	9566	19160
333	9594	19131
334	9624	19105
335	9655	19080
336	9687	19058
337	9718	19034
338	9748	19008
339	9776	18978
340	9804	18947
341	9831	18916
342	9860	18887
343	9888	18856
344	9916	18827
345	9946	18800
346	9975	18773
347	10005	18746
348	10034	18717
349	10060	18684
350	10087	18651
351	10115	18621
352	10142	18589
353	10169	18557
354	10198	18529
355	10227	18500
356	10254	18468
357	10281	18438
358	10311	18411
359	10339	18381
360	10367	18352
361	10396	18322
362	10425	18294
363	10453	18264
364	10481	18234
365	10507	18200
366	10533	18168
367	10559	18135
368	10584	18100
369	10614	18072
370	10644	18046
371	10671	18015
372	10699	17985
373	10725	17951
374	10756	17926
375	10790	17907
376	10824	17887
377	10854	17860
378	10881	17830
379	10910	17800
380	10938	17771
381	10965	17740
382	10993	17710
383	11021	17680
384	11049	17650
385	11078	17622
386	11107	17593
387	11134	17562
388	11162	17533
389	11189	17501
390	11218	17473
391	11246	17443
392	11277	17418
393	11305	17389
394	11333	17359
395	11362	17331
396	11391	17301
397	11418	17271
398	11447	17243
399	11477	17215
400	11504	17184
401	11531	17154
402	11560	17125
403	11591	17100
404	11628	17084
405	11663	17063
406	11699	17046
407	11731	17022
408	11762	16995
409	11798	16977
410	11829	16952
411	11862	16930
412	11894	16905
413	11929	16885
414	11959	16858
415	11993	16836
416	12029	16818
417	12060	16792
418	12089	16764
419	12119	16736
420	12151	16712
421	12183	16687
422	12214	16661
423	12243	16632
424	12275	16607
425	12307	16582
426	12336	16554
427	12368	16530
428	12400	16504
429	12432	16480
430	12466	16458
431	12499	16434
432	12528	16405
433	12557	16376
434	12584	16345
435	12614	16318
436	12642	16287
437	12670	16257
438	12693	16221
439	12721	16191
440	12750	16161
441	12777	16131
442	12805	16101
443	12834	16072
444	12863	16043
445	12889	16011
446	12918	15982
447	12950	15957
448	12983	15932
449	13013	15905
450	13043	15877
451	13070	15846
452	13100	15819
453	13128	15789
454	13156	15759
455	13184	15728
456	13211	15697
457	13238	15666
458	13266	15636
459	13293	15605
460	13319	15572
461	13346	15542
462	13375	15513
463	13404	15484
464	13431	15453
465	13458	15421
466	13487	15393
467	13517	15366
468	13547	15337
469	13574	15307
470	13601	15276
471	13631	15249
472	13660	15219
473	13687	15189
474	13715	15159
475	13743	15129
476	13770	15098
477	13799	15069
478	13826	15039
479	13854	15009
480	13882	14979
481	13911	14950
482	13940	14921
483	13969	14893
484	13998	14864
485	14026	14834
486	14057	14807
487	14089	14782
488	14119	14755
489	14148	14725
490	14179	14699
491	14207	14669
492	14236	14640
493	14263	14610
494	14293	14582
495	14323	14554
496	14351	14524
497	14378	14493
498	14404	14462
499	14433	14433
500	14462	14404
501	14493	14377
502	14520	14347
503	14548	14317
504	14578	14289
505	14606	14260
506	14634	14230
507	14663	14201
508	14691	14172
509	14719	14142
510	14751	14116
511	14779	14086
512	14808	14058
513	14838	14029
514	14866	14000
515	14894	13970
516	14922	13940
517	14950	13911
518	14980	13883
519	15009	13854
520	15038	13825
521	15064	13794
522	15092	13764
523	15119	13734
524	15146	13704
525	15178	13677
526	15210	13652
527	15242	13626
528	15268	13594
529	15296	13564
530	15321	13532
531	15349	13503
532	15377	13473
533	15405	13443
534	15433	13414
535	15456	13379
536	15484	13350
537	15513	13322
538	15542	13293
539	15572	13265
540	15599	13235
541	15627	13205
542	15652	13173
543	15679	13143
544	15706	13113
545	15735	13084
546	15762	13053
547	15792	13025
548	15819	12995
549	15848	12966
550	15877	12938
551	15904	12908
552	15931	12877
553	15960	12848
554	15988	12819
555	16017	12790
556	16042	12759
557	16071	12730
558	16100	12701
559	16129	12673
560	16157	12643
561	16187	12616
562	16216	12586
563	16242	12556
564	16273	12529
565	16305	12502
566	16339	12478
567	16366	12448
568	16393	12417
569	16420	12387
570	16452	12360
571	16480	12331
572	16507	12301
573	16540	12275
574	16568	12246
575	16599	12218
576	16626	12189
577	16655	12160
578	16686	12133
579	16714	12103
580	16741	12073
581	16769	12044
582	16798	12015
583	16826	11985
584	16856	11957
585	16883	11928
586	16911	11898
587	16939	11869
588	16968	11840
589	16995	11810
590	17023	11781
591	17053	11752
592	17081	11723
593	17109	11694
594	17137	11665
595	17164	11635
596	17194	11606
597	17222	11577
598	17251	11549
599	17280	11520
600	17308	11491
601	17336	11461
602	17365	11433
603	17397	11406
604	17431	11380
605	17463	11354
606	17488	11323
607	17517	11293
608	17548	11266
609	17577	11238
610	17604	11208
611	17633	11179
612	17661	11150
613	17690	11121
614	17718	11092
615	17747	11063
616	17773	11033
617	17800	11003
618	17827	10972
619	17856	10944
620	17883	10914
621	17914	10886
622	17943	10858
623	17973	10829
624	17998	10799
625	18026	10769
626	18053	10740
627	18081	10710
628	18110	10682
629	18143	10655
630	18172	10626
631	18200	10597
632	18228	10568
633	18257	10539
634	18285	10510
635	18312	10480
636	18342	10452
637	18369	10422
638	18399	10394
639	18429	10366
640	18456	10336
641	18487	10309
642	18514	10279
643	18545	10252
644	18575	10223
645	18602	10194
646	18629	10163
647	18657	10135
648	18686	10106
649	18715	10077
650	18740	10046
651	18767	10017
652	18795	9987
653	18824	9959
654	18848	9927
655	18877	9899
656	18906	9870
657	18932	9840
658	18964	9813
659	18992	9783
660	19022	9755
661	19050	9726
662	19078	9697
663	19106	9668
664	19131	9637
665	19160	9608
666	19191	9581
667	19222	9553
668	19251	9525
669	19280	9496
670	19307	9466
671	19337	9438
672	19366	9409
673	19393	9380
674	19423	9352
675	19453	9323
676	19480	9294
677	19507	9264
678	19530	9233
679	19560	9205
680	19594	9178
681	19626	9151
682	19659	9124
683	19689	9096
684	19719	9068
685	19747	9038
686	19775	9009
687	19803	8980
688	19831	8951
689	19859	8922
690	19887	8893
691	19913	8863
692	19944	8835
693	19974	8807
694	20004	8778
695	20034	8750
696	20062	8721
697	20092	8693
698	20119	8663
699	20146	8634
700	20174	8604
701	20202	8575
702	20229	8546
703	20258	8517
704	20286	8488
705	20314	8459
706	20342	8430
707	20371	8401
708	20399	8372
709	20426	8343
710	20450	8312
711	20477	8283
712	20506	8254
713	20534	8225
714	20564	8196
715	20592	8167
716	20620	8138
717	20649	8110
718	20680	8082
719	20714	8055
720	20743	8027
721	20777	8000
722	20805	7970
723	20832	7941
724	20860	7912
725	20889	7883
726	20917	7854
727	20947	7826
728	20972	7796
729	21002	7767
730	21030	7738
731	21059	7710
732	21085	7680
733	21115	7652
734	21143	7623
735	21172	7594
736	21198	7564
737	21220	7533
738	21248	7504
739	21278	7476
740	21308	7447
741	21335	7418
742	21365	7390
743	21392	7361
744	21420	7332
745	21449	7303
746	21477	7274
747	21506	7245
748	21533	7216
749	21562	7187
750	21588	7157
751	21618	7129
752	21646	7100
753	21674	7071
754	21703	7042
755	21733	7014
756	21761	6985
757	21792	6957
758	21827	6930
759	21859	6903
760	21888	6874
761	21917	6845
762	21946	6816
763	21975	6788
764	22002	6759
765	22030	6729
766	22059	6701
767	22087	6672
768	22115	6643
769	22145	6614
770	22174	6586
771	22202	6557
772	22230	6528
773	22257	6499
774	22284	6469
775	22313	6441
776	22341	6412
777	22366	6382
778	22394	6353
779	22425	6325
780	22452	6295
781	22483	6267
782	22516	6240
783	22552	6213
784	22583	6185
785	22620	6158
786	22654	6131
787	22685	6103
788	22714	6074
789	22748	6046
790	22779	6018
791	22812	5991
792	22844	5963
793	22879	5935
794	22913	5908
795	22948	5881
796	22981	5853
797	23013	5825
798	23044	5797
799	23074	5768
800	23106	5740
801	23139	5712
802	23166	5683
803	23197	5655
804	23228	5626
805	23258	5598
806	23289	5569
807	23321	5541
808	23353	5513
809	23384	5485
810	23418	5457
811	23448	5428
812	23477	5400
813	23504	5370
814	23532	5341
815	23559	5312
816	23588	5283
817	23613	5253
818	23643	5225
819	23671	5196
820	23700	5167
821	23728	5138
822	23756	5109
823	23784	5080
824	23807	5049
825	23829	5019
826	23852	4989
827	23874	4959
828	23897	4929
829	23920	4899
830	23944	4869
831	23967	4839
832	23991	4809
833	24017	4780
834	24042	4750
835	24068	4721
836	24092	4691
837	24116	4662
838	24139	4632
839	24162	4602
840	24185	4572
841	24208	4542
842	24231	4512
843	24258	4483
844	24282	4454
845	24306	4424
846	24329	4394
847	24352	4365
848	24375	4335
849	24399	4305
850	24422	4276
851	24446	4246
852	24469	4216
853	24492	4187
854	24515	4157
855	24539	4128
856	24562	4098
857	24586	4069
858	24609	4039
859	24632	4009
860	24658	3980
861	24682	3951
862	24705	3921
863	24730	3892
864	24753	3863
865	24776	3833
866	24800	3804
867	24822	3774
868	24845	3745
869	24868	3715
870	24892	3686
871	24921	3658
872	24950	3629
873	24979	3601
874	25002	3571
875	25031	3543
876	25054	3513
877	25081	3485
878	25114	3457
879	25141	3428
880	25170	3399
881	25203	3371
882	25231	3343
883	25260	3314
884	25289	3286
885	25317	3257
886	25345	3228
887	25368	3199
888	25392	3170
889	25417	3141
890	25440	3112
891	25462	3082
892	25485	3053
893	25508	3024
894	25531	2995
895	25555	2966
896	25577	2936
897	25599	2907
898	25622	2878
899	25649	2849
900	25678	2821
901	25708	2793
902	25736	2764
903	25764	2736
904	25793	2707
905	25820	2678
906	25847	2650
907	25874	2621
908	25903	2593
909	25932	2564
910	25961	2536
911	25990	2507
912	26018	2479
913	26047	2450
914	26075	2422
915	26103	2393
916	26133	2365
917	26161	2336
918	26189	2308
919	26223	2280
920	26257	2252
921	26290	2224
922	26322	2195
923	26348	2167
924	26380	2138
925	26405	2110
926	26432	2081
927	26461	2053
928	26490	2024
929	26518	1995
930	26546	1967
931	26577	1939
932	26605	1910
933	26635	1882
934	26659	1853
935	26684	1824
936	26713	1796
937	26741	1767
938	26768	1738
939	26797	1710
940	26829	1682
941	26859	1653
942	26889	1625
943	26920	1596
944	26948	1568
945	26972	1539
946	26996	1510
947	27022	1482
948	27046	1453
949	27071	1424
950	27098	1396
951	27122	1367
952	27147	1338
953	27171	1310
954	27196	1281
955	27221	1252
956	27247	1224
957	27271	1195
958	27296	1167
959	27324	1138
960	27354	1110
961	27388	1081
962	27419	1053
963	27448	1025
964	27479	996
965	27507	968
966	27538	939
967	27570	911
968	27600	882
969	27630	854
970	27655	825
971	27686	797
972	27715	769
973	27744	740
974	27773	712
975	27803	683
976	27833	655
977	27867	626
978	27890	598
979	27914	569
980	27937	541
981	27960	512
982	27990	484
983	28020	455
984	28049	427
985	28079	398
986	28111	370
987	28142	341
988	28173	313
989	28201	284
990	28229	256
991	28258	227
992	28283	199
993	28313	170
994	28343	142
995	28372	113
996	28404	85
997	28436	56
998	28470	28
999	28506	0
