iter	Logloss
0	0.5248302234
1	0.4281626435
2	0.3726231315
3	0.3402214798
4	0.3104657095
5	0.2880446421
6	0.2497907865
7	0.2331348345
8	0.217893789
9	0.208244421
10	0.2007997911
11	0.1939655751
12	0.1865997569
13	0.1803647935
14	0.1766751101
15	0.1722553036
16	0.1619290985
17	0.1586784892
18	0.1570799762
19	0.1551928756
20	0.1528719401
21	0.1507134426
22	0.1482047149
23	0.1463816654
24	0.1453633705
25	0.1404330755
26	0.1392084019
27	0.1375716993
28	0.131646457
29	0.1284613413
30	0.1262636609
31	0.1247729415
32	0.1231897478
33	0.121539702
34	0.1188910721
35	0.1171451841
36	0.1163245588
37	0.1157053025
38	0.1140563888
39	0.1133788371
40	0.1129275285
41	0.1118170652
42	0.1114299244
43	0.111086994
44	0.1108204053
45	0.1101058654
46	0.1087275842
47	0.1076660222
48	0.1070416467
49	0.106253321
50	0.105920371
51	0.105547055
52	0.1048935899
53	0.1043011233
54	0.1038979922
55	0.1037430444
56	0.1031722151
57	0.1022704948
58	0.1014546693
59	0.1012785857
60	0.1006931858
61	0.1003584387
62	0.09975595951
63	0.09893769207
64	0.09874408804
65	0.09847071034
66	0.09836580873
67	0.09767481788
68	0.09728110831
69	0.09713228689
70	0.09645911966
71	0.09550011737
72	0.09532769677
73	0.09490954388
74	0.09476097722
75	0.09460545992
76	0.09434712441
77	0.09425377764
78	0.09416630817
79	0.09408420889
80	0.09399582101
81	0.09364832563
82	0.09352460952
83	0.09344337104
84	0.09336392217
85	0.09329628982
86	0.09309116271
87	0.09293945433
88	0.09262854977
89	0.09232963936
90	0.09205373659
91	0.09178876438
92	0.09169127934
93	0.09146370166
94	0.09119597431
95	0.09109543323
96	0.0907754344
97	0.09066284394
98	0.09037687141
99	0.09010401756
100	0.08947456725
101	0.08898578297
102	0.08870875526
103	0.08848261693
104	0.08830284208
105	0.08824897551
106	0.08818270685
107	0.0881163626
108	0.08780044592
109	0.08775649994
110	0.08764275364
111	0.08760663422
112	0.08753193177
113	0.08748526829
114	0.08742478664
115	0.08727377326
116	0.08695301695
117	0.08670931286
118	0.08663659409
119	0.08659479644
120	0.08650840786
121	0.08622201672
122	0.08587484907
123	0.08555018627
124	0.08540685497
125	0.08528380108
126	0.08504094705
127	0.08499173425
128	0.08493489535
129	0.08487277736
130	0.08482210108
131	0.08476326573
132	0.0847188413
133	0.08465200832
134	0.08452498258
135	0.08449037977
136	0.08429535659
137	0.08426133023
138	0.08421624624
139	0.08410215429
140	0.08404007095
